Species,Difficulty,Filename,ExtraInfo,PhotoLocation,PhotoDate
Black-bellied Whistling Duck,3,DSCN5598.jpg,,"Houston, TX",8/12/2013
Fulvous Whistling Duck,3,fulviousDSCN6154.jpg,,TX,8/13/2013
Greater White-fronted Goose,3,DSCN3262.JPG,,"Oregon, IL",2/17/2013
Cackling Goose,3,DSCN9271cackling.jpg,,"Northfield, MN",12/17/2013
Canada Goose,1,DSCN7633canada.jpg,,"Barrington Hills, IL",5/12/2013
Mute Swan,2,DSCN5089.jpg,,"Austin, TX",8/10/2013
Black Swan,2,DSCN7677blackswan.jpg,,"Orlando, FL",10/12/2013
Black-necked Swan,2,DSCN7754blacknecked.jpg,,"Orlando, FL",10/12/2013
Trumpeter Swan,2,DSCN1937swan.jpg,,"Eldridge/Dewitt, IA",1/19/2013
Tundra Swan,2,DSCN2121swans.jpg,,"LeClaire, IA",1/21/2013
Muscovy Duck,2,DSCN7914muscovy.jpg,,"Kissamee, FL",10/13/2013
Wood Duck,1,DSCN9095WOODDUCK.jpg,male,"Barrington Hills, IL",5/28/2013
Wood Duck,1,DSCN9093WOODDUCK.jpg,female,"Barrington Hills, IL",5/28/2013
Gadwall,3,DSCN2219gadwall male.jpg,male,"Davenport, IA",1/23/2013
Gadwall,3,DSCN2225female gadwall.jpg,female,"Davenport, IA",1/23/2013
American Wigeon,3,DSCN8121wigeon.jpg,,"Barrington Hills, IL",10/26/2013
American Black Duck,3,DSCN9811AmericanBlack.jpg,,"Carpenterville, IL",1/19/2014
Mallard,1,DSCN1037crop male mallard duck.jpg,male,"Northfield, MN",1/9/2013
Mallard,1,DSCN1055crop female mallard duck.jpg,female,"Northfield, MN",1/10/2013
Blue-winged Teal,3,DSCN5885teal.JPG,male,"Moline, IL",4/7/2013
Blue-winged Teal,3,DSCN5881teal female.jpg,female,"Moline, IL",4/7/2013
Cinnamon Teal,3,DSCN5638cinnamon.jpg,,"Lexington, KY",3/30/2013
Northern Shoveler,2,DSCN6403northernshoveler.jpg,male,"Davenport, IA",4/13/2013
Northern Shoveler,2,DSCN6412northernshoveler.jpg,female,"Davenport, IA",4/13/2013
Northern Pintail,3,DSCN8363Pintail.jpg,male,"Davenport, IA",11/9/2013
Green-winged Teal,3,DSCN8104greeneinged.jpg,,"Barrington Hills, IL",10/26/2013
Canvasback,3,DSCN2591canvasback.jpg,male,"Davenport, IA",1/26/2013
Canvasback,3,DSCN3604_female canvas back.JPG,female,"LeClaire, IA",2/24/2013
Redhead,2,DSCN3272redhead.jpg,,"Palatine, IL",7/27/2013
Ring-necked Duck,2,DSCN6155ringnecked.jpg,male,"Davenport, IA",4/13/2013
Ring-necked Duck,2,DSCN6160femaleringneck.jpg,female,"Davenport, IA",4/13/2013
Greater Scaup,3,DSCN1060greaterscaup.jpg,male,"Chicago, IL",2/23/2014
